Question	Answer	Latency (s)
1. What is the minimum distance that apparatus must be placed from the sash opening in the fume hood?	Apparatus must be placed at least six inches behind the protective air barrier of the fume hood sash opening to ensure safety and effective containment of contaminants.	1.657
2. Why is perchloric acid strictly prohibited in non-specialized fume hoods?	Perchloric acid is strictly prohibited in non-specialized fume hoods due to the severe explosion hazard it poses when it reacts with organic materials, necessitating dedicated perchloric acid hoods for safe handling.	2.064
3. What is the typical air containment velocity in the fume hood?	The typical air containment velocity in the fume hood is 100 feet per minute.	0.994
4. Which baffle position is optimal for large hot plate use and what is its purpose?	Baffle position B is optimal for large hot plate use, as it allows for enhanced upper exhaust volume to effectively manage rising thermal contaminants within the fume hood.	1.331
5. How tall should metal legs be for large equipment placed in the fume hood?	Metal legs for large equipment placed in the fume hood should be 2-3 inches tall to ensure proper airflow circulation underneath and prevent air flow obstruction.	1.945
6. What must be done to the exhaust fan during the 15-minute water wash procedure for perchloric acid hoods?	The exhaust fan must be turned off during the 15-minute water wash procedure to prevent damage to the fan impeller wheel from the high-velocity water spray.	1.229
7. How often should fume hood velocity be checked at minimum?	Fume hood velocity should be checked at least annually, and additionally after any modifications to the laboratory ventilation system or factors affecting exhaust capability.	1.330
8. What is the maximum wattage for light bulbs in the fume hood?	The maximum wattage for light bulbs in the fume hood is 150 watts for all bulb types.	1.649
9. What creates the low-pressure turbulent zone extending 4 inches into the fume hood interior?	The low-pressure turbulent zone extending 4 inches into the fume hood interior is created by the air passing over your body as you stand in front of the hood, which disrupts the airflow and forms a zone susceptible to contaminant infiltration.	2.454
10. Why must large equipment in the fume hood be placed on 2-3 inch legs?	Large equipment must be placed on 2-3 inch legs in the fume hood to facilitate airflow circulation underneath, which helps prevent air flow obstruction and reduces the risk of reverse flows and dead spots that could allow contaminants to escape.	1.941
11. What are the three baffle position configurations available and what is each used for?	The three baffle position configurations are Position A for standard operation (balanced air distribution), Position B for high-temperature scenarios (enhanced upper exhaust for large hot plates), and Position C for dense vapor handling (increased lower area air draw for heavy gases and sinking vapors).	1.882
12. Where is the valve located for controlling the wash-down procedure in perchloric acid hoods?	The valve for controlling the wash-down procedure in perchloric acid hoods is located on the left front vertical fascia. There may also be a separate switch for activating the wash-down system for the duct.	2.316
13. What should be checked during annual fume hood maintenance?	During annual fume hood maintenance, you should check for proper air velocity, inspect sash cables for damage, clean the interior surfaces and sash glass, and verify the functionality of the air flow monitoring device. Additionally, ensure that all safety protocols and equipment are in compliance with safety guidelines.	2.174
14. What is the proper sash management protocol during fume hood operation?	During fume hood operation, all sashes must be in place to maintain air entry velocity, and the sash should be kept at or below the marked safe height while minimizing the opening required for access to the work area. Additionally, the sash should be closed completely when not in use to enhance safety and reduce exposure to contaminants.	2.061
15. What type of etching system is RIE classified as?	RIE (Reactive Ion Etching) is classified as a dry etching system used in microfabrication, particularly in the semiconductor industry, where it utilizes chemically reactive plasma to remove material from a substrate. It combines both chemical and physical etching mechanisms to achieve precise material removal.	2.214
16. Which gases are typically used for etching silicon (Si)?	Fluorine-based gases such as SF₆ and CF₄ are typically used for etching silicon (Si) in RIE processes. These gases react with silicon to form volatile byproducts that can be easily removed.	2.050
17. How is the etch rate calculated in RIE?	The etch rate in RIE is calculated using the formula: Etch Rate = (Initial Thickness - Final Thickness) / Time, where thickness measurements are taken before and after the etching process.	1.581
18. What are the key parameters in a standard RIE process?	The key parameters in a standard RIE process include RF power, chamber pressure, gas type and flow rates, and etch time, all of which influence the etching efficiency and quality. Proper control of these parameters is essential for achieving desired etch profiles and rates.	3.533
